"Part";"Value";"Device";"Package";"Description";"POPULARITY";"SPICEPREFIX";
"C1";"22u";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"16";"C";
"C2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"73";"C";
"C19";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"73";"C";
"C20";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"73";"C";
"C21";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"CON1";"XT60PB-F";"XT60PB-F";"XT60PB-F";"AMASS XT60 connector";"";"";
"CON2";"XT60PB-M";"XT60PB-M";"XT60PB-M";"AMASS XT60 connector";"";"";
"CON3";"XT60PB-M";"XT60PB-M";"XT60PB-M";"AMASS XT60 connector";"";"";
"CON4";"XT60PB-M";"XT60PB-M";"XT60PB-M";"AMASS XT60 connector";"";"";
"CON5";"XT60PB-M";"XT60PB-M";"XT60PB-M";"AMASS XT60 connector";"";"";
"F1";"";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"41";"R";
"H1";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"7";"";
"H2";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"7";"";
"H3";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"7";"";
"H4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"7";"";
"IC1";"7805DT";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"0";"";
"Q1";"BUZ11BH";"BUZ11BH";"TO220BH";"N-CHANNEL MOS FET";"0";"";
"R2";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"77";"R";
"R3";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"77";"R";
"S1";"897-1AH-C-001";"897-1AH-C-001";"897-1AH-C-001";"";"";"";
"U$1";"XH-2-STRAIGHT";"XH-2-STRAIGHT";"CON-XH-2-STRAIGHT";"";"";"";
"U$2";"XH-2-STRAIGHT";"XH-2-STRAIGHT";"CON-XH-2-STRAIGHT";"";"";"";
"U$3";"XH-2-STRAIGHT";"XH-2-STRAIGHT";"CON-XH-2-STRAIGHT";"";"";"";
"U$4";"XH-2-STRAIGHT";"XH-2-STRAIGHT";"CON-XH-2-STRAIGHT";"";"";"";
"U9";"XC6206";"XC6206";"SOT95P240X110-3";"";"";"";
